Type,Long,Lat
Medical Center,40.7451638,-73.98251878
Medical Center,40.71976227,-74.250014
Medical Center,40.786713,-74.175476
Medical Center,40.78690639,-74.17540497
Medical Center,40.88544,-74.13887
Medical Center,40.63904062,-73.99794102
Medical Center,40.86873706,-73.9006602
Medical Center,40.72435967,-73.99747938
Medical Center,40.71713766,-74.03891414
Medical Center,40.911434,-74.036274
Medical Center,40.63904062,-73.99794102
Medical Center,40.78514256,-74.17647257
Medical Center,40.74167305,-73.97428784
Medical Center,40.76025963,-73.98276476
Medical Center,40.74167305,-73.97428784
Medical Center,40.95672908,-74.06300068
Medical Center,40.71080146,-74.00608152
Medical Center,40.63535651,-74.10638621
Medical Center,40.74167305,-73.97428784
Medical Center,40.86088438,-73.88990591
Medical Center,40.88366806,-74.05626345
Medical Center,40.60475522,-73.94258856
Medical Center,40.882215,-73.839667
Medical Center,40.7585219,-73.78216407
Medical Center,40.74167305,-73.97428784
Medical Center,40.90981229,-73.90852556
Medical Center,40.7654697,-73.98041169
Medical Center,40.668847,-73.979973
Medical Center,40.7025,-73.81947219
Medical Center,40.95672908,-74.06300068
Medical Center,40.58426059,-73.94598475
Medical Center,40.718928,-73.98945451
Medical Center,40.73479031,-73.98970901
Medical Center,40.73055307,-73.88788475
Medical Center,40.63904062,-73.99794102
Medical Center,40.61311186,-74.03375609
Medical Center,40.74307505,-74.00298847
Medical Center,40.71157472,-73.8571571
Medical Center,40.95672908,-74.06300068
Medical Center,40.88366806,-74.05626345
Medical Center,40.87993788,-73.88086796
Medical Center,40.90981229,-73.90852556
Medical Center,40.895825,-74.053215
Medical Center,40.60792532,-73.9641881
Medical Center,40.71609097,-74.05218444
Medical Center,40.90981229,-73.90852556
Medical Center,40.76569855,-73.954567
Medical Center,40.73055307,-73.88788475
Medical Center,40.71631412,-74.05027628
Medical Center,40.76787558,-73.7387786
Medical Center,40.65692902,-74.22796631
Medical Center,40.744576,-74.028841
Medical Center,40.78514256,-74.17647257
Medical Center,40.91692576,-74.07646788
Medical Center,40.911434,-74.036274
Medical Center,40.63904062,-73.99794102
Medical Center,40.87993788,-73.88086796
Medical Center,40.78514256,-74.17647257
Medical Center,40.71426172,-73.80117163
Medical Center,40.88371135,-74.0108329
Medical Center,40.79393697,-73.9960447
Medical Center,40.74167305,-73.97428784
Medical Center,40.86088438,-73.88990591
Medical Center,40.95672908,-74.06300068
Medical Center,40.63535651,-74.10638621
Medical Center,40.74167305,-73.97428784
Medical Center,40.88366806,-74.05626345
Medical Center,40.70795059,-73.78573745
Medical Center,40.738665,-73.975303
Medical Center,40.70795059,-73.78573745
Medical Center,40.59298306,-73.94924364
Medical Center,40.75158814,-73.980383
Medical Center,40.74307505,-74.00298847
Medical Center,40.63904062,-73.99794102
Medical Center,40.73774268,-73.97831686
Medical Center,40.76358505,-73.96891568
Medical Center,40.90612411,-74.07694244
Medical Center,40.714671,-74.008676
Medical Center,40.73479031,-73.98970901
Medical Center,40.731436,-74.055889
Medical Center,40.6925725,-73.98630578
Medical Center,40.73480623,-74.05943021
Medical Center,40.77473435,-74.03239626
Medical Center,40.89416436,-73.86074636
Medical Center,40.77951439,-73.95375115
Medical Center,40.88366806,-74.05626345
Medical Center,40.601637,-73.994198
Medical Center,40.789293,-73.96987
Medical Center,40.95672908,-74.06300068
Medical Center,40.74167305,-73.97428784
Medical Center,40.69160682,-73.98741916
Medical Center,40.7585219,-73.78216407
Medical Center,40.63904062,-73.99794102
Medical Center,40.71713766,-74.03891414
Medical Center,40.71740502,-73.80451675
Medical Center,40.7171761,-73.80413532
Medical Center,40.71777135,-73.80446505
Medical Center,40.95398175,-74.07243108
Medical Center,40.84231431,-73.94256354
Medical Center,40.77696675,-73.70148182
Medical Center,40.61886061,-74.02090911
Medical Center,40.79439182,-73.9404683
Medical Center,40.76993959,-73.94045682
Medical Center,40.79030442,-73.9519373
Medical Center,40.82548744,-73.83964634
Medical Center,40.79005808,-73.95325005
Medical Center,40.77696675,-73.70148182
Medical Center,40.74167305,-73.97428784
Medical Center,40.71976227,-74.250014
Medical Center,40.74401,-73.857559
Medical Center,40.90981229,-73.90852556
Medical Center,40.74078666,-74.19118881
Medical Center,40.64671746,-74.0211153
Medical Center,40.7654697,-73.98041169
Medical Center,40.69186335,-73.76843871
Medical Center,40.73213693,-73.98493767
Medical Center,40.899049,-73.971277
Medical Center,40.89911233,-73.97102783
Medical Center,40.86088438,-73.88990591
Medical Center,40.79202082,-73.97390904
Medical Center,40.71734687,-74.00706053
Medical Center,40.61886061,-74.02090911
Medical Center,40.66435958,-74.11774199
Medical Center,40.69805178,-73.83537896
Medical Center,40.73055307,-73.88788475
Medical Center,40.78514256,-74.17647257
Medical Center,40.65630662,-73.85818507
Medical Center,40.66966022,-74.11314814
Medical Center,40.7585219,-73.78216407
Medical Center,40.76256708,-73.75869997
Medical Center,40.71150212,-73.85709407
Medical Center,40.77696675,-73.70148182
Medical Center,40.73326935,-73.98280493
Medical Center,40.76245411,-73.97216999
Medical Center,40.79030442,-73.9519373
Medical Center,40.63535651,-74.10638621
Medical Center,40.64671746,-74.0211153
Medical Center,40.64589821,-74.02027219
Medical Center,40.77951439,-73.95375115
Medical Center,40.95672908,-74.06300068
Medical Center,40.73055307,-73.88788475
Medical Center,40.88366806,-74.05626345
Medical Center,40.74209957,-73.97494213
Medical Center,40.738665,-73.975303
Medical Center,40.90981229,-73.90852556
Medical Center,40.77473435,-74.03239626
Medical Center,40.74307505,-74.00298847
Medical Center,40.880514,-73.881093
Medical Center,40.74209957,-73.97494213
Medical Center,40.63904062,-73.99794102
Medical Center,40.78514256,-74.17647257
Medical Center,40.90400959,-73.96841526
Medical Center,40.82934379,-74.10294492
Medical Center,40.90280945,-74.16599751
Medical Center,40.7585219,-73.78216407
Medical Center,40.85550037,-73.84623528
Medical Center,40.75450686,-73.70915294
Medical Center,40.95672908,-74.06300068
Medical Center,40.63535651,-74.10638621
Medical Center,40.86088438,-73.88990591
Medical Center,40.74209957,-73.97494213
Medical Center,40.74476841,-73.97534389
Medical Center,40.74436071,-73.97530372
Medical Center,40.73055307,-73.88788475
Medical Center,40.88366806,-74.05626345
Medical Center,40.763787,-73.770905
Medical Center,40.90981229,-73.90852556
Medical Center,40.69186335,-73.76843871
Medical Center,40.76560356,-73.97201503
Medical Center,40.739342,-73.988315
Medical Center,40.7654697,-73.98041169
Medical Center,40.77862,-73.961189
Medical Center,40.70795059,-73.78573745
Medical Center,40.83093216,-73.90164201
Medical Center,40.88366806,-74.05626345
Medical Center,40.74209957,-73.97494213
Medical Center,40.64671746,-74.0211153
Medical Center,40.79202082,-73.97390904
Medical Center,40.96055061,-74.0298143
Medical Center,40.9599609,-74.03037086
Medical Center,40.589995,-73.805571
Medical Center,40.88366806,-74.05626345
Medical Center,40.624442,-74.02776
Medical Center,40.70022727,-73.81638765
Medical Center,40.63904062,-73.99794102
Medical Center,40.79372129,-73.95101889
Medical Center,40.70045536,-73.94302276
Medical Center,40.79439182,-73.9404683
Medical Center,40.6561114,-73.94940017
Medical Center,40.65405934,-73.94525
Medical Center,40.65347957,-73.947058
Medical Center,40.65524805,-73.94403934
Medical Center,40.65424567,-73.94505483
Medical Center,40.58426059,-73.94598475
Medical Center,40.755903,-73.96677
Medical Center,40.73055307,-73.88788475
Medical Center,40.74370267,-74.02897085
Medical Center,40.63904062,-73.99794102
Medical Center,40.65630662,-73.85818507
Medical Center,40.88431303,-74.0562864
Medical Center,40.90280945,-74.16599751
Medical Center,40.78514256,-74.17647257
Medical Center,40.85550037,-73.84623528
Medical Center,40.73755144,-73.87616506
Medical Center,40.6561114,-73.94940017
Medical Center,40.75482323,-74.21422107
Medical Center,40.63904062,-73.99794102
Medical Center,40.82934379,-74.10294492
Medical Center,40.65405934,-73.94525
Medical Center,40.79030442,-73.9519373
Medical Center,40.65524805,-73.94403934
Medical Center,40.7585219,-73.78216407
Medical Center,40.73319215,-73.98261554
Medical Center,40.64671746,-74.0211153
Medical Center,40.65630662,-73.85818507
Medical Center,40.79178044,-74.04806518
Medical Center,40.65671312,-73.94318104
Medical Center,40.61540332,-74.02281412
Medical Center,40.90280945,-74.16599751
Medical Center,40.88366806,-74.05626345
Medical Center,40.78514256,-74.17647257
Medical Center,40.64671746,-74.0211153
Medical Center,40.65453341,-73.94496299
Medical Center,40.95672908,-74.06300068
Medical Center,40.63535651,-74.10638621
Medical Center,40.77364375,-73.96081924
Medical Center,40.74209957,-73.97494213
Medical Center,40.78486329,-73.94494057
Medical Center,40.74629188,-73.97334084
Medical Center,40.70795059,-73.78573745
Medical Center,40.74501204,-73.88533531
Medical Center,40.79030442,-73.9519373
Medical Center,40.63904062,-73.99794102
Medical Center,40.69039639,-73.99475348
Medical Center,40.95672908,-74.06300068
Medical Center,40.718928,-73.98945451
Medical Center,40.7593689,-73.96694183
Medical Center,40.57836603,-73.98347641
Medical Center,40.73479031,-73.98970901
Medical Center,40.66435958,-74.11774199
Medical Center,40.58426059,-73.94598475
Medical Center,40.65388184,-73.94534185
Medical Center,40.6551297,-73.94575514
Medical Center,40.77951439,-73.95375115
Medical Center,40.76845145,-73.92480208
Medical Center,40.63535651,-74.10638621
Medical Center,40.95672908,-74.06300068
Medical Center,40.74209957,-73.97494213
Medical Center,40.77893,-73.982583
Medical Center,40.627547,-74.029391
Medical Center,40.71631412,-74.05027628
Medical Center,40.89009481,-74.05722151
Medical Center,40.7631999,-73.96835
Medical Center,40.89108891,-74.21310904
Medical Center,40.88366806,-74.05626345
Medical Center,40.74209957,-73.97494213
Medical Center,40.73891698,-73.98766279
Medical Center,40.64247906,-73.90266401
Medical Center,40.73479031,-73.98970901
Medical Center,40.74209957,-73.97494213
Medical Center,40.773592,-74.239715
Medical Center,40.70795059,-73.78573745
Medical Center,40.70795059,-73.78573745
Medical Center,40.668847,-73.979973
Medical Center,40.95672908,-74.06300068
Medical Center,40.63904062,-73.99794102
Medical Center,40.86088438,-73.88990591
Medical Center,40.6299496,-74.02541914
Medical Center,40.7639577,-73.96822694
Medical Center,40.738436,-73.999452
Medical Center,40.78514256,-74.17647257
Medical Center,40.79202082,-73.97390904
Medical Center,40.78514256,-74.17647257
Medical Center,40.78875946,-73.95269499
Medical Center,40.72105354,-73.80727978
Medical Center,40.79030442,-73.9519373
Medical Center,40.74209957,-73.97494213
Medical Center,40.74209957,-73.97494213
Medical Center,40.7585219,-73.78216407
Medical Center,40.63168821,-73.9866903
Medical Center,40.84053484,-73.94120693
Medical Center,40.90981229,-73.90852556
Medical Center,40.88366806,-74.05626345
Medical Center,40.89108891,-74.21310904
Medical Center,40.7654697,-73.98041169
Medical Center,40.918982,-74.069229
Medical Center,40.862535,-74.14400845
Medical Center,40.74078666,-74.19118881
Medical Center,40.74401,-73.857559
Medical Center,40.79005808,-73.95325005
Medical Center,40.789062,-73.954761
Medical Center,40.78865792,-73.95359617
Medical Center,40.58426059,-73.94598475
Medical Center,40.73055307,-73.88788475
Medical Center,40.76256708,-73.75869997
Medical Center,40.64671746,-74.0211153
Medical Center,40.76410772,-74.14918475
Medical Center,40.74307505,-74.00298847
Medical Center,40.76984931,-73.98738384
Medical Center,40.70795059,-73.78573745
Medical Center,40.70795059,-73.78573745
Medical Center,40.74078666,-74.19118881
Medical Center,40.61311186,-74.03375609
Medical Center,40.88544,-74.13887
Medical Center,40.71150212,-73.85709407
Medical Center,40.84139401,-73.94293092
Medical Center,40.67679807,-73.89837504
Medical Center,40.74078666,-74.19118881
Medical Center,40.88366806,-74.05626345
Medical Center,40.82557755,-73.83966931
Medical Center,40.85550037,-73.84623528
Medical Center,40.73319215,-73.98261554
Medical Center,40.64671746,-74.0211153
Medical Center,40.77951439,-73.95375115
Medical Center,40.95672908,-74.06300068
Medical Center,40.74209957,-73.97494213
Medical Center,40.63535651,-74.10638621
Medical Center,40.74068911,-73.99330616
Medical Center,40.74209957,-73.97494213
Medical Center,40.73055307,-73.88788475
Medical Center,40.88366806,-74.05626345
Medical Center,40.86695759,-73.90584469
Medical Center,40.765138,-73.978078
Medical Center,40.83876,-73.941443
Medical Center,40.84878465,-73.83810711
Medical Center,40.69039639,-73.99475348
Medical Center,40.57836603,-73.98347641
Medical Center,40.84878465,-73.83810711
Medical Center,40.76256708,-73.75869997
Medical Center,40.82934379,-74.10294492
Medical Center,40.75450686,-73.70915294
Medical Center,40.65453341,-73.94496299
Medical Center,40.65524805,-73.94403934
Medical Center,40.85550037,-73.84623528
Medical Center,40.67679807,-73.89837504
Medical Center,40.74209957,-73.97494213
Medical Center,40.65362743,-73.94496299
Medical Center,40.74295013,-73.88228626
Medical Center,40.65453341,-73.94496299
Medical Center,40.6551297,-73.94575514
Medical Center,40.65347957,-73.947058
Medical Center,40.95672908,-74.06300068
Medical Center,40.63535651,-74.10638621
Medical Center,40.7585219,-73.78216407
Medical Center,40.5918507,-73.97156735
Medical Center,40.784239,-73.954267
Medical Center,40.88955565,-73.9758547
Medical Center,40.88955858,-73.97570547
Medical Center,40.88379856,-74.05669372
Medical Center,40.93671,-73.85433
Medical Center,40.90981229,-73.90852556
Medical Center,40.79423718,-74.26830769
Medical Center,40.76569855,-73.954567
Medical Center,40.76551266,-73.95481879
Medical Center,40.745623,-73.975817
Medical Center,40.79161977,-73.70201055
Medical Center,40.76407042,-73.95426202
Medical Center,40.86088438,-73.88990591
Medical Center,40.73701474,-73.98135424
Medical Center,40.68449898,-73.8454856
Medical Center,40.59594805,-73.98028543
Medical Center,40.9599609,-74.03037086
Medical Center,40.63904062,-73.99794102
Medical Center,40.76466513,-73.9548111
Medical Center,40.84220616,-73.9422593
Medical Center,40.95672908,-74.06300068
Medical Center,40.739342,-73.988315
Medical Center,40.64671746,-74.0211153
Medical Center,40.64589821,-74.02027219
Medical Center,40.70795059,-73.78573745
Medical Center,40.63873748,-73.99900588
Medical Center,40.70000168,-73.81636133
Medical Center,40.89310753,-74.20628195
Medical Center,40.73319215,-73.98261554
Medical Center,40.60563759,-73.98913511
Medical Center,40.73319215,-73.98261554
Medical Center,40.73319215,-73.98261554
Medical Center,40.78514256,-74.17647257
Medical Center,40.73319215,-73.98261554
Medical Center,40.7356815,-74.00115967
Medical Center,40.88379856,-74.05669372
Medical Center,40.73583084,-73.99365736
