Type,Long,Lat,Neighborhood,Downtown,Suburbs,D or S
Medical Center,40.7451638,-73.98251878,East Toronto,No,Yes,Suburbs
Medical Center,40.71976227,-74.250014,East Toronto,No,Yes,Suburbs
Medical Center,40.786713,-74.175476,East Toronto,No,Yes,Suburbs
Medical Center,40.78690639,-74.17540497,East Toronto,No,Yes,Suburbs
Medical Center,40.88544,-74.13887,Central Toronto,Yes,No,Downtown
Medical Center,40.63904062,-73.99794102,Central Toronto,Yes,No,Downtown
Medical Center,40.86873706,-73.9006602,Central Toronto,Yes,No,Downtown
Medical Center,40.72435967,-73.99747938,Central Toronto,Yes,No,Downtown
Medical Center,40.71713766,-74.03891414,Central Toronto,Yes,No,Downtown
Medical Center,40.911434,-74.036274,Central Toronto,Yes,No,Downtown
Medical Center,40.63904062,-73.99794102,Downtown Toronto,Yes,No,Downtown
Medical Center,40.78514256,-74.17647257,Downtown Toronto,Yes,No,Downtown
Medical Center,40.74167305,-73.97428784,Downtown Toronto,Yes,No,Downtown
Medical Center,40.76025963,-73.98276476,Downtown Toronto,Yes,No,Downtown
Medical Center,40.74167305,-73.97428784,Downtown Toronto,Yes,No,Downtown
Medical Center,40.95672908,-74.06300068,Downtown Toronto,Yes,No,Downtown
Medical Center,40.71080146,-74.00608152,Downtown Toronto,Yes,No,Downtown
Medical Center,40.63535651,-74.10638621,Downtown Toronto,Yes,No,Downtown
Medical Center,40.74167305,-73.97428784,Downtown Toronto,Yes,No,Downtown
Medical Center,40.86088438,-73.88990591,Downtown Toronto,Yes,No,Downtown
Medical Center,40.88366806,-74.05626345,Downtown Toronto,Yes,No,Downtown
Medical Center,40.60475522,-73.94258856,Downtown Toronto,Yes,No,Downtown
Medical Center,40.882215,-73.839667,Central Toronto,Yes,No,Downtown
Medical Center,40.7585219,-73.78216407,Central Toronto,Yes,No,Downtown
Medical Center,40.74167305,-73.97428784,Central Toronto,Yes,No,Downtown
Medical Center,40.90981229,-73.90852556,Downtown Toronto,Yes,No,Downtown
Medical Center,40.7654697,-73.98041169,Downtown Toronto,Yes,No,Downtown
Medical Center,40.668847,-73.979973,Downtown Toronto,Yes,No,Downtown
Medical Center,40.7025,-73.81947219,Downtown Toronto,Yes,No,Downtown
Medical Center,40.95672908,-74.06300068,Downtown Toronto,Yes,No,Downtown
Medical Center,40.58426059,-73.94598475,Downtown Toronto,Yes,No,Downtown
Medical Center,40.718928,-73.98945451,West Toronto,No,Yes,Suburbs
Medical Center,40.73479031,-73.98970901,West Toronto,No,Yes,Suburbs
Medical Center,40.73055307,-73.88788475,West Toronto,No,Yes,Suburbs
Medical Center,40.63904062,-73.99794102,West Toronto,No,Yes,Suburbs
Medical Center,40.61311186,-74.03375609,West Toronto,No,Yes,Suburbs
Medical Center,40.74307505,-74.00298847,West Toronto,No,Yes,Suburbs
Medical Center,40.71157472,-73.8571571,Downtown Toronto,Yes,No,Downtown
Medical Center,40.95672908,-74.06300068,East Toronto,No,Yes,Suburbs
Medical Center,40.88366806,-74.05626345,East Toronto,No,Yes,Suburbs
Medical Center,40.87993788,-73.88086796,East Toronto,No,Yes,Suburbs
Medical Center,40.90981229,-73.90852556,East Toronto,No,Yes,Suburbs
Medical Center,40.895825,-74.053215,East Toronto,No,Yes,Suburbs
Medical Center,40.60792532,-73.9641881,Central Toronto,Yes,No,Downtown
Medical Center,40.71609097,-74.05218444,Central Toronto,Yes,No,Downtown
Medical Center,40.90981229,-73.90852556,Central Toronto,Yes,No,Downtown
Medical Center,40.76569855,-73.954567,Central Toronto,Yes,No,Downtown
Medical Center,40.73055307,-73.88788475,Central Toronto,Yes,No,Downtown
Medical Center,40.71631412,-74.05027628,Central Toronto,Yes,No,Downtown
Medical Center,40.76787558,-73.7387786,Downtown Toronto,Yes,No,Downtown
Medical Center,40.65692902,-74.22796631,Downtown Toronto,Yes,No,Downtown
Medical Center,40.744576,-74.028841,Downtown Toronto,Yes,No,Downtown
Medical Center,40.78514256,-74.17647257,Downtown Toronto,Yes,No,Downtown
Medical Center,40.91692576,-74.07646788,Downtown Toronto,Yes,No,Downtown
Medical Center,40.911434,-74.036274,Downtown Toronto,Yes,No,Downtown
Medical Center,40.63904062,-73.99794102,Downtown Toronto,Yes,No,Downtown
Medical Center,40.87993788,-73.88086796,Downtown Toronto,Yes,No,Downtown
Medical Center,40.78514256,-74.17647257,Downtown Toronto,Yes,No,Downtown
Medical Center,40.71426172,-73.80117163,Downtown Toronto,Yes,No,Downtown
Medical Center,40.88371135,-74.0108329,Downtown Toronto,Yes,No,Downtown
Medical Center,40.79393697,-73.9960447,Downtown Toronto,Yes,No,Downtown
Medical Center,40.74167305,-73.97428784,Central Toronto,Yes,No,Downtown
Medical Center,40.86088438,-73.88990591,Central Toronto,Yes,No,Downtown
Medical Center,40.95672908,-74.06300068,Central Toronto,Yes,No,Downtown
Medical Center,40.63535651,-74.10638621,Downtown Toronto,Yes,No,Downtown
Medical Center,40.74167305,-73.97428784,Downtown Toronto,Yes,No,Downtown
Medical Center,40.88366806,-74.05626345,Downtown Toronto,Yes,No,Downtown
Medical Center,40.70795059,-73.78573745,Downtown Toronto,Yes,No,Downtown
Medical Center,40.738665,-73.975303,Downtown Toronto,Yes,No,Downtown
Medical Center,40.70795059,-73.78573745,Downtown Toronto,Yes,No,Downtown
Medical Center,40.59298306,-73.94924364,West Toronto,No,Yes,Suburbs
Medical Center,40.75158814,-73.980383,West Toronto,No,Yes,Suburbs
Medical Center,40.74307505,-74.00298847,West Toronto,No,Yes,Suburbs
Medical Center,40.63904062,-73.99794102,West Toronto,No,Yes,Suburbs
Medical Center,40.73774268,-73.97831686,West Toronto,No,Yes,Suburbs
Medical Center,40.76358505,-73.96891568,West Toronto,No,Yes,Suburbs
Medical Center,40.90612411,-74.07694244,Downtown Toronto,Yes,No,Downtown
Medical Center,40.714671,-74.008676,East Toronto,No,Yes,Suburbs
Medical Center,40.73479031,-73.98970901,East Toronto,No,Yes,Suburbs
Medical Center,40.731436,-74.055889,East Toronto,No,Yes,Suburbs
Medical Center,40.6925725,-73.98630578,East Toronto,No,Yes,Suburbs
Medical Center,40.73480623,-74.05943021,East Toronto,No,Yes,Suburbs
Medical Center,40.77473435,-74.03239626,Central Toronto,Yes,No,Downtown
